id,dataset,method,method_confidence_level,method_bias,method_recall_target,filename,row_count
1,clef-CD005139,ALISON,0.8,nan,0.8,clef-CD005139_ALISON_0.8_nan_0.8.csv,610
2,clef-CD005139,ALISON,0.8,nan,0.9,clef-CD005139_ALISON_0.8_nan_0.9.csv,610
3,clef-CD005139,ALISON,0.8,nan,0.95,clef-CD005139_ALISON_0.8_nan_0.95.csv,610
4,clef-CD005139,ALISON,0.8,nan,0.99,clef-CD005139_ALISON_0.8_nan_0.99.csv,610
5,clef-CD005139,ALISON,0.8,none,0.8,clef-CD005139_ALISON_0.8_none_0.8.csv,1830
6,clef-CD005139,ALISON,0.8,none,0.9,clef-CD005139_ALISON_0.8_none_0.9.csv,1830
7,clef-CD005139,ALISON,0.8,none,0.95,clef-CD005139_ALISON_0.8_none_0.95.csv,1830
8,clef-CD005139,ALISON,0.8,none,0.99,clef-CD005139_ALISON_0.8_none_0.99.csv,1830
9,clef-CD005139,ALISON,0.95,nan,0.8,clef-CD005139_ALISON_0.95_nan_0.8.csv,610
10,clef-CD005139,ALISON,0.95,nan,0.9,clef-CD005139_ALISON_0.95_nan_0.9.csv,610
11,clef-CD005139,ALISON,0.95,nan,0.95,clef-CD005139_ALISON_0.95_nan_0.95.csv,610
12,clef-CD005139,ALISON,0.95,nan,0.99,clef-CD005139_ALISON_0.95_nan_0.99.csv,610
13,clef-CD005139,ALISON,0.95,none,0.8,clef-CD005139_ALISON_0.95_none_0.8.csv,1830
14,clef-CD005139,ALISON,0.95,none,0.9,clef-CD005139_ALISON_0.95_none_0.9.csv,1830
15,clef-CD005139,ALISON,0.95,none,0.95,clef-CD005139_ALISON_0.95_none_0.95.csv,1830
16,clef-CD005139,ALISON,0.95,none,0.99,clef-CD005139_ALISON_0.95_none_0.99.csv,1830
17,clef-CD005139,APRIORI,nan,none,0.8,clef-CD005139_APRIORI_nan_none_0.8.csv,3648
18,clef-CD005139,APRIORI,nan,none,0.9,clef-CD005139_APRIORI_nan_none_0.9.csv,3648
19,clef-CD005139,APRIORI,nan,none,0.95,clef-CD005139_APRIORI_nan_none_0.95.csv,3648
20,clef-CD005139,APRIORI,nan,none,0.99,clef-CD005139_APRIORI_nan_none_0.99.csv,3648
21,clef-CD005139,BATCHPRECISION,nan,nan,nan,clef-CD005139_BATCHPRECISION_nan_nan_nan.csv,2745
22,clef-CD005139,BATCHPRECISION,nan,none,nan,clef-CD005139_BATCHPRECISION_nan_none_nan.csv,8208
23,clef-CD005139,BUSCAR,0.8,1.0,0.8,clef-CD005139_BUSCAR_0.8_1.0_0.8.csv,304
24,clef-CD005139,BUSCAR,0.8,1.0,0.9,clef-CD005139_BUSCAR_0.8_1.0_0.9.csv,304
25,clef-CD005139,BUSCAR,0.8,1.0,0.95,clef-CD005139_BUSCAR_0.8_1.0_0.95.csv,304
26,clef-CD005139,BUSCAR,0.8,1.0,0.99,clef-CD005139_BUSCAR_0.8_1.0_0.99.csv,304
27,clef-CD005139,BUSCAR,0.8,10.0,0.8,clef-CD005139_BUSCAR_0.8_10.0_0.8.csv,304
28,clef-CD005139,BUSCAR,0.8,10.0,0.9,clef-CD005139_BUSCAR_0.8_10.0_0.9.csv,304
29,clef-CD005139,BUSCAR,0.8,10.0,0.95,clef-CD005139_BUSCAR_0.8_10.0_0.95.csv,304
30,clef-CD005139,BUSCAR,0.8,10.0,0.99,clef-CD005139_BUSCAR_0.8_10.0_0.99.csv,304
31,clef-CD005139,BUSCAR,0.8,2.0,0.8,clef-CD005139_BUSCAR_0.8_2.0_0.8.csv,304
32,clef-CD005139,BUSCAR,0.8,2.0,0.9,clef-CD005139_BUSCAR_0.8_2.0_0.9.csv,304
33,clef-CD005139,BUSCAR,0.8,2.0,0.95,clef-CD005139_BUSCAR_0.8_2.0_0.95.csv,304
34,clef-CD005139,BUSCAR,0.8,2.0,0.99,clef-CD005139_BUSCAR_0.8_2.0_0.99.csv,304
35,clef-CD005139,BUSCAR,0.8,5.0,0.8,clef-CD005139_BUSCAR_0.8_5.0_0.8.csv,304
36,clef-CD005139,BUSCAR,0.8,5.0,0.9,clef-CD005139_BUSCAR_0.8_5.0_0.9.csv,304
37,clef-CD005139,BUSCAR,0.8,5.0,0.95,clef-CD005139_BUSCAR_0.8_5.0_0.95.csv,304
38,clef-CD005139,BUSCAR,0.8,5.0,0.99,clef-CD005139_BUSCAR_0.8_5.0_0.99.csv,304
39,clef-CD005139,BUSCAR,0.95,1.0,0.8,clef-CD005139_BUSCAR_0.95_1.0_0.8.csv,304
40,clef-CD005139,BUSCAR,0.95,1.0,0.9,clef-CD005139_BUSCAR_0.95_1.0_0.9.csv,304
41,clef-CD005139,BUSCAR,0.95,1.0,0.95,clef-CD005139_BUSCAR_0.95_1.0_0.95.csv,304
42,clef-CD005139,BUSCAR,0.95,1.0,0.99,clef-CD005139_BUSCAR_0.95_1.0_0.99.csv,304
43,clef-CD005139,BUSCAR,0.95,10.0,0.8,clef-CD005139_BUSCAR_0.95_10.0_0.8.csv,304
44,clef-CD005139,BUSCAR,0.95,10.0,0.9,clef-CD005139_BUSCAR_0.95_10.0_0.9.csv,304
45,clef-CD005139,BUSCAR,0.95,10.0,0.95,clef-CD005139_BUSCAR_0.95_10.0_0.95.csv,304
46,clef-CD005139,BUSCAR,0.95,10.0,0.99,clef-CD005139_BUSCAR_0.95_10.0_0.99.csv,304
47,clef-CD005139,BUSCAR,0.95,2.0,0.8,clef-CD005139_BUSCAR_0.95_2.0_0.8.csv,304
48,clef-CD005139,BUSCAR,0.95,2.0,0.9,clef-CD005139_BUSCAR_0.95_2.0_0.9.csv,304
49,clef-CD005139,BUSCAR,0.95,2.0,0.95,clef-CD005139_BUSCAR_0.95_2.0_0.95.csv,304
50,clef-CD005139,BUSCAR,0.95,2.0,0.99,clef-CD005139_BUSCAR_0.95_2.0_0.99.csv,304
51,clef-CD005139,BUSCAR,0.95,5.0,0.8,clef-CD005139_BUSCAR_0.95_5.0_0.8.csv,304
52,clef-CD005139,BUSCAR,0.95,5.0,0.9,clef-CD005139_BUSCAR_0.95_5.0_0.9.csv,304
53,clef-CD005139,BUSCAR,0.95,5.0,0.95,clef-CD005139_BUSCAR_0.95_5.0_0.95.csv,304
54,clef-CD005139,BUSCAR,0.95,5.0,0.99,clef-CD005139_BUSCAR_0.95_5.0_0.99.csv,304
55,clef-CD005139,BUSCAR,0.99,1.0,0.8,clef-CD005139_BUSCAR_0.99_1.0_0.8.csv,609
56,clef-CD005139,BUSCAR,0.99,1.0,0.9,clef-CD005139_BUSCAR_0.99_1.0_0.9.csv,609
57,clef-CD005139,BUSCAR,0.99,1.0,0.95,clef-CD005139_BUSCAR_0.99_1.0_0.95.csv,609
58,clef-CD005139,BUSCAR,0.99,1.0,0.99,clef-CD005139_BUSCAR_0.99_1.0_0.99.csv,609
59,clef-CD005139,BUSCAR,0.99,10.0,0.8,clef-CD005139_BUSCAR_0.99_10.0_0.8.csv,609
60,clef-CD005139,BUSCAR,0.99,10.0,0.9,clef-CD005139_BUSCAR_0.99_10.0_0.9.csv,609
61,clef-CD005139,BUSCAR,0.99,10.0,0.95,clef-CD005139_BUSCAR_0.99_10.0_0.95.csv,609
62,clef-CD005139,BUSCAR,0.99,10.0,0.99,clef-CD005139_BUSCAR_0.99_10.0_0.99.csv,609
63,clef-CD005139,BUSCAR,0.99,2.0,0.8,clef-CD005139_BUSCAR_0.99_2.0_0.8.csv,609
64,clef-CD005139,BUSCAR,0.99,2.0,0.9,clef-CD005139_BUSCAR_0.99_2.0_0.9.csv,609
65,clef-CD005139,BUSCAR,0.99,2.0,0.95,clef-CD005139_BUSCAR_0.99_2.0_0.95.csv,609
66,clef-CD005139,BUSCAR,0.99,2.0,0.99,clef-CD005139_BUSCAR_0.99_2.0_0.99.csv,609
67,clef-CD005139,BUSCAR,0.99,5.0,0.8,clef-CD005139_BUSCAR_0.99_5.0_0.8.csv,609
68,clef-CD005139,BUSCAR,0.99,5.0,0.9,clef-CD005139_BUSCAR_0.99_5.0_0.9.csv,609
69,clef-CD005139,BUSCAR,0.99,5.0,0.95,clef-CD005139_BUSCAR_0.99_5.0_0.95.csv,609
70,clef-CD005139,BUSCAR,0.99,5.0,0.99,clef-CD005139_BUSCAR_0.99_5.0_0.99.csv,609
71,clef-CD005139,BUSCAR,0.9,1.0,0.8,clef-CD005139_BUSCAR_0.9_1.0_0.8.csv,304
72,clef-CD005139,BUSCAR,0.9,1.0,0.9,clef-CD005139_BUSCAR_0.9_1.0_0.9.csv,304
73,clef-CD005139,BUSCAR,0.9,1.0,0.95,clef-CD005139_BUSCAR_0.9_1.0_0.95.csv,304
74,clef-CD005139,BUSCAR,0.9,1.0,0.99,clef-CD005139_BUSCAR_0.9_1.0_0.99.csv,304
75,clef-CD005139,BUSCAR,0.9,10.0,0.8,clef-CD005139_BUSCAR_0.9_10.0_0.8.csv,304
76,clef-CD005139,BUSCAR,0.9,10.0,0.9,clef-CD005139_BUSCAR_0.9_10.0_0.9.csv,304
77,clef-CD005139,BUSCAR,0.9,10.0,0.95,clef-CD005139_BUSCAR_0.9_10.0_0.95.csv,304
78,clef-CD005139,BUSCAR,0.9,10.0,0.99,clef-CD005139_BUSCAR_0.9_10.0_0.99.csv,304
79,clef-CD005139,BUSCAR,0.9,2.0,0.8,clef-CD005139_BUSCAR_0.9_2.0_0.8.csv,304
80,clef-CD005139,BUSCAR,0.9,2.0,0.9,clef-CD005139_BUSCAR_0.9_2.0_0.9.csv,304
81,clef-CD005139,BUSCAR,0.9,2.0,0.95,clef-CD005139_BUSCAR_0.9_2.0_0.95.csv,304
82,clef-CD005139,BUSCAR,0.9,2.0,0.99,clef-CD005139_BUSCAR_0.9_2.0_0.99.csv,304
83,clef-CD005139,BUSCAR,0.9,5.0,0.8,clef-CD005139_BUSCAR_0.9_5.0_0.8.csv,304
84,clef-CD005139,BUSCAR,0.9,5.0,0.9,clef-CD005139_BUSCAR_0.9_5.0_0.9.csv,304
85,clef-CD005139,BUSCAR,0.9,5.0,0.95,clef-CD005139_BUSCAR_0.9_5.0_0.95.csv,304
86,clef-CD005139,BUSCAR,0.9,5.0,0.99,clef-CD005139_BUSCAR_0.9_5.0_0.99.csv,304
87,clef-CD005139,CURVE_FITTING,0.8,none,0.8,clef-CD005139_CURVE_FITTING_0.8_none_0.8.csv,4560
88,clef-CD005139,CURVE_FITTING,0.8,none,0.9,clef-CD005139_CURVE_FITTING_0.8_none_0.9.csv,4560
89,clef-CD005139,CURVE_FITTING,0.8,none,0.95,clef-CD005139_CURVE_FITTING_0.8_none_0.95.csv,4560
90,clef-CD005139,CURVE_FITTING,0.8,none,0.99,clef-CD005139_CURVE_FITTING_0.8_none_0.99.csv,4560
91,clef-CD005139,CURVE_FITTING,0.95,none,0.8,clef-CD005139_CURVE_FITTING_0.95_none_0.8.csv,4560
92,clef-CD005139,CURVE_FITTING,0.95,none,0.9,clef-CD005139_CURVE_FITTING_0.95_none_0.9.csv,4560
93,clef-CD005139,CURVE_FITTING,0.95,none,0.95,clef-CD005139_CURVE_FITTING_0.95_none_0.95.csv,4560
94,clef-CD005139,CURVE_FITTING,0.95,none,0.99,clef-CD005139_CURVE_FITTING_0.95_none_0.99.csv,4560
95,clef-CD005139,CURVE_FITTING,0.99,none,0.8,clef-CD005139_CURVE_FITTING_0.99_none_0.8.csv,4560
96,clef-CD005139,CURVE_FITTING,0.99,none,0.9,clef-CD005139_CURVE_FITTING_0.99_none_0.9.csv,4560
97,clef-CD005139,CURVE_FITTING,0.99,none,0.95,clef-CD005139_CURVE_FITTING_0.99_none_0.95.csv,4560
98,clef-CD005139,CURVE_FITTING,0.99,none,0.99,clef-CD005139_CURVE_FITTING_0.99_none_0.99.csv,4560
99,clef-CD005139,CURVE_FITTING,0.9,none,0.8,clef-CD005139_CURVE_FITTING_0.9_none_0.8.csv,4560
100,clef-CD005139,CURVE_FITTING,0.9,none,0.9,clef-CD005139_CURVE_FITTING_0.9_none_0.9.csv,4560
101,clef-CD005139,CURVE_FITTING,0.9,none,0.95,clef-CD005139_CURVE_FITTING_0.9_none_0.95.csv,4560
102,clef-CD005139,CURVE_FITTING,0.9,none,0.99,clef-CD005139_CURVE_FITTING_0.9_none_0.99.csv,4560
103,clef-CD005139,CurveFitting,nan,nan,0.8,clef-CD005139_CurveFitting_nan_nan_0.8.csv,305
104,clef-CD005139,CurveFitting,nan,nan,0.9,clef-CD005139_CurveFitting_nan_nan_0.9.csv,305
105,clef-CD005139,CurveFitting,nan,nan,0.95,clef-CD005139_CurveFitting_nan_nan_0.95.csv,305
106,clef-CD005139,CurveFitting,nan,nan,0.99,clef-CD005139_CurveFitting_nan_nan_0.99.csv,305
107,clef-CD005139,HEURISTIC_FIX,nan,nan,nan,clef-CD005139_HEURISTIC_FIX_nan_nan_nan.csv,1220
108,clef-CD005139,HEURISTIC_FIX,nan,none,nan,clef-CD005139_HEURISTIC_FIX_nan_none_nan.csv,3648
109,clef-CD005139,HEURISTIC_FRAC,nan,nan,nan,clef-CD005139_HEURISTIC_FRAC_nan_nan_nan.csv,1525
110,clef-CD005139,HEURISTIC_FRAC,nan,none,nan,clef-CD005139_HEURISTIC_FRAC_nan_none_nan.csv,4560
111,clef-CD005139,HEURISTIC_RANDOM,nan,none,0.8,clef-CD005139_HEURISTIC_RANDOM_nan_none_0.8.csv,912
112,clef-CD005139,HEURISTIC_RANDOM,nan,none,0.9,clef-CD005139_HEURISTIC_RANDOM_nan_none_0.9.csv,912
113,clef-CD005139,HEURISTIC_RANDOM,nan,none,0.95,clef-CD005139_HEURISTIC_RANDOM_nan_none_0.95.csv,912
114,clef-CD005139,HEURISTIC_RANDOM,nan,none,0.99,clef-CD005139_HEURISTIC_RANDOM_nan_none_0.99.csv,912
115,clef-CD005139,HEURISTIC_SCORES,nan,none,0.8,clef-CD005139_HEURISTIC_SCORES_nan_none_0.8.csv,3648
116,clef-CD005139,HEURISTIC_SCORES,nan,none,0.9,clef-CD005139_HEURISTIC_SCORES_nan_none_0.9.csv,3648
117,clef-CD005139,HEURISTIC_SCORES,nan,none,0.95,clef-CD005139_HEURISTIC_SCORES_nan_none_0.95.csv,3648
118,clef-CD005139,HEURISTIC_SCORES,nan,none,0.99,clef-CD005139_HEURISTIC_SCORES_nan_none_0.99.csv,3648
119,clef-CD005139,IPP,0.8,none,0.8,clef-CD005139_IPP_0.8_none_0.8.csv,4560
120,clef-CD005139,IPP,0.8,none,0.9,clef-CD005139_IPP_0.8_none_0.9.csv,4560
121,clef-CD005139,IPP,0.8,none,0.95,clef-CD005139_IPP_0.8_none_0.95.csv,4560
122,clef-CD005139,IPP,0.8,none,0.99,clef-CD005139_IPP_0.8_none_0.99.csv,4560
123,clef-CD005139,IPP,0.95,none,0.8,clef-CD005139_IPP_0.95_none_0.8.csv,4560
124,clef-CD005139,IPP,0.95,none,0.9,clef-CD005139_IPP_0.95_none_0.9.csv,4560
125,clef-CD005139,IPP,0.95,none,0.95,clef-CD005139_IPP_0.95_none_0.95.csv,4560
126,clef-CD005139,IPP,0.95,none,0.99,clef-CD005139_IPP_0.95_none_0.99.csv,4560
127,clef-CD005139,IPP,0.99,none,0.8,clef-CD005139_IPP_0.99_none_0.8.csv,4560
128,clef-CD005139,IPP,0.99,none,0.9,clef-CD005139_IPP_0.99_none_0.9.csv,4560
129,clef-CD005139,IPP,0.99,none,0.95,clef-CD005139_IPP_0.99_none_0.95.csv,4560
130,clef-CD005139,IPP,0.99,none,0.99,clef-CD005139_IPP_0.99_none_0.99.csv,4560
131,clef-CD005139,IPP,0.9,none,0.8,clef-CD005139_IPP_0.9_none_0.8.csv,4560
132,clef-CD005139,IPP,0.9,none,0.9,clef-CD005139_IPP_0.9_none_0.9.csv,4560
133,clef-CD005139,IPP,0.9,none,0.95,clef-CD005139_IPP_0.9_none_0.95.csv,4560
134,clef-CD005139,IPP,0.9,none,0.99,clef-CD005139_IPP_0.9_none_0.99.csv,4560
135,clef-CD005139,KNEE,nan,nan,nan,clef-CD005139_KNEE_nan_nan_nan.csv,3660
136,clef-CD005139,KNEE,nan,none,nan,clef-CD005139_KNEE_nan_none_nan.csv,32832
137,clef-CD005139,METHOD2399,nan,nan,nan,clef-CD005139_METHOD2399_nan_nan_nan.csv,915
138,clef-CD005139,QUANT_CI,nan,none,0.8,clef-CD005139_QUANT_CI_nan_none_0.8.csv,2736
139,clef-CD005139,QUANT_CI,nan,none,0.9,clef-CD005139_QUANT_CI_nan_none_0.9.csv,2736
140,clef-CD005139,QUANT_CI,nan,none,0.95,clef-CD005139_QUANT_CI_nan_none_0.95.csv,2736
141,clef-CD005139,QUANT_CI,nan,none,0.99,clef-CD005139_QUANT_CI_nan_none_0.99.csv,2736
142,clef-CD005139,S-CAL,nan,0.9,0.8,clef-CD005139_S-CAL_nan_0.9_0.8.csv,2736
143,clef-CD005139,S-CAL,nan,0.9,0.9,clef-CD005139_S-CAL_nan_0.9_0.9.csv,2736
144,clef-CD005139,S-CAL,nan,0.9,0.95,clef-CD005139_S-CAL_nan_0.9_0.95.csv,2736
145,clef-CD005139,S-CAL,nan,0.9,0.99,clef-CD005139_S-CAL_nan_0.9_0.99.csv,2736
146,clef-CD005139,S-CAL,nan,1.05,0.8,clef-CD005139_S-CAL_nan_1.05_0.8.csv,2736
147,clef-CD005139,S-CAL,nan,1.05,0.9,clef-CD005139_S-CAL_nan_1.05_0.9.csv,2736
148,clef-CD005139,S-CAL,nan,1.05,0.95,clef-CD005139_S-CAL_nan_1.05_0.95.csv,2736
149,clef-CD005139,S-CAL,nan,1.05,0.99,clef-CD005139_S-CAL_nan_1.05_0.99.csv,2736
150,clef-CD005139,S-CAL,nan,1.0,0.8,clef-CD005139_S-CAL_nan_1.0_0.8.csv,2736
151,clef-CD005139,S-CAL,nan,1.0,0.9,clef-CD005139_S-CAL_nan_1.0_0.9.csv,2736
152,clef-CD005139,S-CAL,nan,1.0,0.95,clef-CD005139_S-CAL_nan_1.0_0.95.csv,2736
153,clef-CD005139,S-CAL,nan,1.0,0.99,clef-CD005139_S-CAL_nan_1.0_0.99.csv,2736
154,clef-CD005139,S-CAL,nan,1.1,0.8,clef-CD005139_S-CAL_nan_1.1_0.8.csv,2736
155,clef-CD005139,S-CAL,nan,1.1,0.9,clef-CD005139_S-CAL_nan_1.1_0.9.csv,2736
156,clef-CD005139,S-CAL,nan,1.1,0.95,clef-CD005139_S-CAL_nan_1.1_0.95.csv,2736
157,clef-CD005139,S-CAL,nan,1.1,0.99,clef-CD005139_S-CAL_nan_1.1_0.99.csv,2736
158,clef-CD005139,S-CAL,nan,1.2,0.8,clef-CD005139_S-CAL_nan_1.2_0.8.csv,2736
159,clef-CD005139,S-CAL,nan,1.2,0.9,clef-CD005139_S-CAL_nan_1.2_0.9.csv,2736
160,clef-CD005139,S-CAL,nan,1.2,0.95,clef-CD005139_S-CAL_nan_1.2_0.95.csv,2736
161,clef-CD005139,S-CAL,nan,1.2,0.99,clef-CD005139_S-CAL_nan_1.2_0.99.csv,2736
162,clef-CD005139,S-CAL,nan,1.3,0.8,clef-CD005139_S-CAL_nan_1.3_0.8.csv,2736
163,clef-CD005139,S-CAL,nan,1.3,0.9,clef-CD005139_S-CAL_nan_1.3_0.9.csv,2736
164,clef-CD005139,S-CAL,nan,1.3,0.95,clef-CD005139_S-CAL_nan_1.3_0.95.csv,2736
165,clef-CD005139,S-CAL,nan,1.3,0.99,clef-CD005139_S-CAL_nan_1.3_0.99.csv,2736
166,clef-CD005139,SALτ,0.8,none,0.8,clef-CD005139_SALτ_0.8_none_0.8.csv,9120
167,clef-CD005139,SALτ,0.8,none,0.9,clef-CD005139_SALτ_0.8_none_0.9.csv,9120
168,clef-CD005139,SALτ,0.8,none,0.95,clef-CD005139_SALτ_0.8_none_0.95.csv,9120
169,clef-CD005139,SALτ,0.8,none,0.99,clef-CD005139_SALτ_0.8_none_0.99.csv,9120
170,clef-CD005139,SALτ,0.95,none,0.8,clef-CD005139_SALτ_0.95_none_0.8.csv,9120
171,clef-CD005139,SALτ,0.95,none,0.9,clef-CD005139_SALτ_0.95_none_0.9.csv,9120
172,clef-CD005139,SALτ,0.95,none,0.95,clef-CD005139_SALτ_0.95_none_0.95.csv,9120
173,clef-CD005139,SALτ,0.95,none,0.99,clef-CD005139_SALτ_0.95_none_0.99.csv,9120
174,clef-CD005139,SALτ,0.99,none,0.8,clef-CD005139_SALτ_0.99_none_0.8.csv,9120
175,clef-CD005139,SALτ,0.99,none,0.9,clef-CD005139_SALτ_0.99_none_0.9.csv,9120
176,clef-CD005139,SALτ,0.99,none,0.95,clef-CD005139_SALτ_0.99_none_0.95.csv,9120
177,clef-CD005139,SALτ,0.99,none,0.99,clef-CD005139_SALτ_0.99_none_0.99.csv,9120
178,clef-CD005139,SALτ,0.9,none,0.8,clef-CD005139_SALτ_0.9_none_0.8.csv,9120
179,clef-CD005139,SALτ,0.9,none,0.9,clef-CD005139_SALτ_0.9_none_0.9.csv,9120
180,clef-CD005139,SALτ,0.9,none,0.95,clef-CD005139_SALτ_0.9_none_0.95.csv,9120
181,clef-CD005139,SALτ,0.9,none,0.99,clef-CD005139_SALτ_0.9_none_0.99.csv,9120
182,clef-CD005139,TM_QBCB,0.8,none,0.8,clef-CD005139_TM_QBCB_0.8_none_0.8.csv,4560
183,clef-CD005139,TM_QBCB,0.8,none,0.9,clef-CD005139_TM_QBCB_0.8_none_0.9.csv,4560
184,clef-CD005139,TM_QBCB,0.8,none,0.95,clef-CD005139_TM_QBCB_0.8_none_0.95.csv,4560
185,clef-CD005139,TM_QBCB,0.8,none,0.99,clef-CD005139_TM_QBCB_0.8_none_0.99.csv,4560
186,clef-CD005139,TM_QBCB,0.95,none,0.8,clef-CD005139_TM_QBCB_0.95_none_0.8.csv,4560
187,clef-CD005139,TM_QBCB,0.95,none,0.9,clef-CD005139_TM_QBCB_0.95_none_0.9.csv,4560
188,clef-CD005139,TM_QBCB,0.95,none,0.95,clef-CD005139_TM_QBCB_0.95_none_0.95.csv,4560
189,clef-CD005139,TM_QBCB,0.95,none,0.99,clef-CD005139_TM_QBCB_0.95_none_0.99.csv,4560
190,clef-CD005139,TM_QBCB,0.99,none,0.8,clef-CD005139_TM_QBCB_0.99_none_0.8.csv,4560
191,clef-CD005139,TM_QBCB,0.99,none,0.9,clef-CD005139_TM_QBCB_0.99_none_0.9.csv,4560
192,clef-CD005139,TM_QBCB,0.99,none,0.95,clef-CD005139_TM_QBCB_0.99_none_0.95.csv,4560
193,clef-CD005139,TM_QBCB,0.99,none,0.99,clef-CD005139_TM_QBCB_0.99_none_0.99.csv,4560
194,clef-CD005139,TM_QBCB,0.9,none,0.8,clef-CD005139_TM_QBCB_0.9_none_0.8.csv,4560
195,clef-CD005139,TM_QBCB,0.9,none,0.9,clef-CD005139_TM_QBCB_0.9_none_0.9.csv,4560
196,clef-CD005139,TM_QBCB,0.9,none,0.95,clef-CD005139_TM_QBCB_0.9_none_0.95.csv,4560
197,clef-CD005139,TM_QBCB,0.9,none,0.99,clef-CD005139_TM_QBCB_0.9_none_0.99.csv,4560
198,clef-CD007394,ALISON,0.8,nan,0.8,clef-CD007394_ALISON_0.8_nan_0.8.csv,318
199,clef-CD007394,ALISON,0.8,nan,0.9,clef-CD007394_ALISON_0.8_nan_0.9.csv,318
200,clef-CD007394,ALISON,0.8,nan,0.95,clef-CD007394_ALISON_0.8_nan_0.95.csv,318
201,clef-CD007394,ALISON,0.8,nan,0.99,clef-CD007394_ALISON_0.8_nan_0.99.csv,318
202,clef-CD007394,ALISON,0.95,nan,0.8,clef-CD007394_ALISON_0.95_nan_0.8.csv,318
203,clef-CD007394,ALISON,0.95,nan,0.9,clef-CD007394_ALISON_0.95_nan_0.9.csv,318
204,clef-CD007394,ALISON,0.95,nan,0.95,clef-CD007394_ALISON_0.95_nan_0.95.csv,318
205,clef-CD007394,ALISON,0.95,nan,0.99,clef-CD007394_ALISON_0.95_nan_0.99.csv,318
206,clef-CD007394,APRIORI,nan,none,0.8,clef-CD007394_APRIORI_nan_none_0.8.csv,1896
207,clef-CD007394,APRIORI,nan,none,0.9,clef-CD007394_APRIORI_nan_none_0.9.csv,1896
208,clef-CD007394,APRIORI,nan,none,0.95,clef-CD007394_APRIORI_nan_none_0.95.csv,1896
209,clef-CD007394,APRIORI,nan,none,0.99,clef-CD007394_APRIORI_nan_none_0.99.csv,1896
210,clef-CD007394,BATCHPRECISION,nan,nan,nan,clef-CD007394_BATCHPRECISION_nan_nan_nan.csv,1431
211,clef-CD007394,BATCHPRECISION,nan,none,nan,clef-CD007394_BATCHPRECISION_nan_none_nan.csv,4266
212,clef-CD007394,BUSCAR,0.99,1.0,0.8,clef-CD007394_BUSCAR_0.99_1.0_0.8.csv,159
213,clef-CD007394,BUSCAR,0.99,1.0,0.9,clef-CD007394_BUSCAR_0.99_1.0_0.9.csv,159
214,clef-CD007394,BUSCAR,0.99,1.0,0.95,clef-CD007394_BUSCAR_0.99_1.0_0.95.csv,159
215,clef-CD007394,BUSCAR,0.99,1.0,0.99,clef-CD007394_BUSCAR_0.99_1.0_0.99.csv,159
216,clef-CD007394,BUSCAR,0.99,10.0,0.8,clef-CD007394_BUSCAR_0.99_10.0_0.8.csv,159
217,clef-CD007394,BUSCAR,0.99,10.0,0.9,clef-CD007394_BUSCAR_0.99_10.0_0.9.csv,159
218,clef-CD007394,BUSCAR,0.99,10.0,0.95,clef-CD007394_BUSCAR_0.99_10.0_0.95.csv,159
